# TEST CONFIGURATION BEGIN
# File Stream: filename: ch_Z_lagged3.csv  -  n_targets: 1
# [ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10] Pipeline: ArbitratedEnsemble: - ensemble_size: 10 - meta_error_metric: MAPE
# Prequential Evaluator: n_wait: 1 - max_samples: 3000000 - max_time: 10000000 - output_file: ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10.csv - batch_size: 1 - pretrain_size: 10 - task_type: regression - show_plot: False - metrics: ['mean_square_error', 'true_vs_predicted']
# TEST CONFIGURATION END
id,mean_mse_[ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10],current_mse_[ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10],true_value,predicted_value_[ch_Z_lagged3_ADE_WEIGHTED_MAPE_SIZE_10]
288,0.055139,0.000182,0.003629,-0.009852
289,0.054942,0.000041,-0.104246,-0.110663
290,0.054790,0.012309,-0.025018,-0.135965
291,0.054696,0.028061,0.119376,-0.048136
292,0.054515,0.003600,0.201729,0.141733
293,0.054488,0.046839,0.405091,0.188667
294,0.054331,0.009672,0.301563,0.399908
295,0.054244,0.029508,0.169905,0.341685
296,0.054211,0.044822,0.371817,0.160105
297,0.054027,0.001206,0.367114,0.401835
298,0.053869,0.008258,0.439867,0.348994
299,0.053999,0.091593,0.661802,0.359159
300,0.053850,0.010597,0.501714,0.604655
301,0.053714,0.014185,0.361581,0.480683
302,0.053536,0.001630,0.341236,0.381606
303,0.053399,0.013160,0.203510,0.318228
304,0.053218,0.000203,0.241951,0.256193
305,0.053044,0.001496,0.329984,0.291302
306,0.053019,0.045655,0.156176,0.369846
307,0.053055,0.063647,-0.067360,0.184923
308,0.052912,0.010454,-0.122179,-0.019934
309,0.052802,0.020030,-0.268802,-0.127275
310,0.052809,0.054851,-0.487891,-0.253689
311,0.052640,0.001697,-0.417788,-0.376591
312,0.052687,0.066758,-0.537374,-0.278999
313,0.053284,0.234220,-0.943531,-0.459568
314,0.053203,0.028761,-0.868211,-0.698621
315,0.053128,0.030152,-0.638299,-0.811943
316,0.053102,0.045080,-0.692314,-0.479992
317,0.052930,0.000173,-0.630168,-0.617008
318,0.052780,0.006467,-0.618323,-0.537908
319,0.052930,0.099462,-0.847388,-0.532011
320,0.052851,0.028186,-0.948752,-0.780866
321,0.052681,0.000006,-0.815189,-0.812747
322,0.052523,0.003001,-0.728559,-0.783344
